date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROE,ROA,DailyReturn
2018-04-30,3711,38764382,3142662482,80.1,84.6,80.1,80.3,0.0,14350,2018,0.0,0.0,432.0,34689.6,0.0,6.53,12.46,
2018-05-02,3711,33905428,2633718191,80.8,82.2,75.1,75.7,-4.6,15220,2018,0.0,0.0,432.0,32702.4,0.0,6.53,12.46,-0.057285180572851736
2018-05-03,3711,19858281,1500098202,75.6,77.1,73.6,75.1,-0.6,9280,2018,0.0,0.0,432.0,32443.2,0.0,6.53,12.46,-0.007926023778071447
2018-05-04,3711,23633024,1867243913,77.5,82.3,76.7,80.2,5.1,11796,2018,0.0,0.0,432.0,34646.4,0.0,6.53,12.46,0.06790945406125179
2018-05-07,3711,18888326,1527123775,82.0,82.5,78.9,79.0,-1.2,9652,2018,0.0,0.0,432.0,34128.0,0.0,6.53,12.46,-0.01496259351620951
2018-05-08,3711,11173106,871312168,78.5,78.5,77.6,77.7,-1.3,5309,2018,0.0,0.0,432.0,33566.4,0.0,6.53,12.46,-0.01645569620253161
2018-05-09,3711,10160314,785204072,77.2,78.4,76.5,77.2,-0.5,4293,2018,0.0,0.0,432.0,33350.4,0.0,6.53,12.46,-0.006435006435006435
2018-05-10,3711,10025939,785052392,77.9,78.6,77.7,78.5,1.3,4980,2018,0.0,0.0,432.0,33912.0,0.0,6.53,12.46,0.01683937823834193
2018-05-11,3711,9076769,723963076,80.0,80.3,78.9,79.8,1.3,4731,2018,0.0,0.0,432.0,34473.6,0.0,6.53,12.46,0.016560509554140092
2018-05-14,3711,6449451,516709530,80.8,80.8,79.8,79.8,0.0,3228,2018,0.0,0.0,432.0,34473.6,0.0,6.53,12.46,0.0
2018-05-15,3711,7220833,577389275,79.8,80.7,79.7,79.7,-0.1,3556,2018,0.0,0.0,432.0,34430.4,0.0,6.53,12.46,-0.0012531328320801293
2018-05-16,3711,6215484,496568876,80.4,80.4,79.4,79.5,-0.2,3271,2018,0.0,0.0,432.0,34344.0,0.0,6.53,12.46,-0.0025094102885822186
2018-05-17,3711,7272278,572091362,79.8,79.9,77.5,77.8,-1.7,3456,2018,0.0,0.0,432.0,33609.6,0.0,6.53,12.46,-0.021383647798742175
2018-05-18,3711,5081011,401131695,78.0,79.8,78.0,78.7,0.9,3052,2018,0.0,0.0,432.0,33998.4,0.0,6.53,12.46,0.011568123393316268
2018-05-21,3711,7042916,562560573,79.0,80.5,78.9,79.8,1.1,2967,2018,0.0,0.0,432.0,34473.6,0.0,6.53,12.46,0.013977128335451007
2018-05-22,3711,5977443,476910397,80.2,80.2,79.0,79.0,-0.8,3534,2018,0.0,0.0,432.0,34128.0,0.0,6.53,12.46,-0.010025062656641569
2018-05-23,3711,4136888,326360970,79.0,79.5,78.5,78.5,-0.5,2642,2018,0.0,0.0,432.0,33912.0,0.0,6.53,12.46,-0.006329113924050633
2018-05-24,3711,4720107,370147159,78.8,79.0,78.1,78.1,-0.4,2685,2018,0.0,0.0,432.0,33739.2,0.0,6.53,12.46,-0.005095541401273958
2018-05-25,3711,3465884,272639532,78.5,79.4,77.8,79.0,0.9,1956,2018,0.0,0.0,432.0,34128.0,0.0,6.53,12.46,0.011523687580025681
2018-05-28,3711,4222072,330745378,79.0,79.0,78.1,78.2,-0.8,2395,2018,0.0,0.0,432.0,33782.4,0.0,6.53,12.46,-0.010126582278480976
2018-05-29,3711,2951022,230666882,78.2,78.7,78.0,78.1,-0.1,1664,2018,0.0,0.0,432.0,33739.2,0.0,6.53,12.46,-0.001278772378516733
2018-05-30,3711,14277626,1082022410,77.2,77.6,74.9,75.3,-2.8,6731,2018,0.0,0.0,432.0,32529.6,0.0,6.53,12.46,-0.03585147247119075
2018-05-31,3711,14426661,1093745236,75.7,76.0,75.2,76.0,0.7,4225,2018,0.0,0.0,432.0,32832.0,0.0,6.53,12.46,0.009296148738379853
2018-06-01,3711,5744263,434797973,75.4,76.2,75.2,76.0,0.0,3514,2018,0.0,0.0,432.0,32832.0,0.0,6.53,12.46,0.0
2018-06-04,3711,7866428,601346939,76.0,76.9,75.8,76.8,0.8,4045,2018,0.0,0.0,432.0,33177.6,10.708809191108166,6.53,12.46,0.010526315789473648
2018-06-05,3711,5882702,452567979,76.6,77.4,76.2,76.8,0.0,2701,2018,0.0,0.0,432.0,33177.6,10.708809191108166,6.53,12.46,0.0
2018-06-06,3711,6719952,521769027,77.0,78.2,76.9,77.6,0.8,2987,2018,0.0,0.0,432.0,33523.2,10.820359286848875,6.53,12.46,0.01041666666666663
2018-06-07,3711,11469649,903251730,78.1,79.2,78.1,78.4,0.8,3899,2018,0.0,0.0,432.0,33868.8,10.931909382589586,6.53,12.46,0.010309278350515611
2018-06-08,3711,6106594,474348394,78.0,78.1,77.3,77.5,-0.9,2432,2018,0.0,0.0,432.0,33480.0,10.806415524881288,6.53,12.46,-0.011479591836734766
2018-06-11,3711,10303724,789611034,77.6,77.7,76.1,76.1,-1.4,5292,2018,0.0,0.0,432.0,32875.2,10.611202857335044,6.53,12.46,-0.018064516129032333
2018-06-12,3711,15104384,1137291395,75.4,75.8,74.8,75.6,-0.5,6254,2018,0.0,0.0,432.0,32659.2,10.541484047497102,6.53,12.46,-0.00657030223390276
2018-06-13,3711,7792383,590169096,75.6,76.1,75.3,75.6,0.0,3631,2018,0.0,0.0,432.0,32659.2,10.541484047497102,6.53,12.46,0.0
2018-06-14,3711,11536033,863935631,75.0,75.2,74.5,74.5,-1.1,3876,2018,0.0,0.0,432.0,32184.0,10.388102665853625,6.53,12.46,-0.014550264550264477
2018-06-15,3711,18409431,1365862026,74.5,74.6,73.7,74.4,-0.1,4569,2018,0.0,0.0,432.0,32140.800000000003,10.374158903886036,6.53,12.46,-0.0013422818791945545
2018-06-19,3711,14943238,1085814660,73.5,73.7,72.0,72.1,-2.3,6747,2018,0.0,0.0,432.0,31147.2,10.053452378631494,6.53,12.46,-0.030913978494623805
