date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE,DailyReturn
2005-09-02,1107,978692,704517,0.72,0.72,0.72,0.72,0.04,38,2005,0.0,0.27,31.4,22.608,2.3591038577525483,0,0,
2005-09-05,1107,1368455,954144,0.77,0.77,0.67,0.77,0.05,97,2005,5.5,0.29,31.4,24.178,2.52293051454092,0,0,0.0694444444444445
2005-09-06,1107,278934,210549,0.76,0.78,0.73,0.76,-0.01,49,2005,5.43,0.29,31.4,23.864,2.4901651831832456,0,0,-0.012987012987012998
2005-09-07,1107,470000,353530,0.73,0.77,0.73,0.77,0.01,34,2005,5.5,0.29,31.4,24.178,2.52293051454092,0,0,0.013157894736842117
2005-09-08,1107,539999,392248,0.76,0.76,0.72,0.72,-0.05,33,2005,5.14,0.27,31.4,22.608,2.3591038577525483,0,0,-0.06493506493506498
2005-09-09,1107,237998,165135,0.71,0.71,0.68,0.68,-0.04,31,2005,4.86,0.26,31.4,21.352,2.228042532321852,0,0,-0.055555555555555455
2005-09-12,1107,217999,151928,0.7,0.7,0.67,0.68,0.0,21,2005,4.86,0.26,31.4,21.352,2.228042532321852,0,0,0.0
2005-09-13,1107,514000,349180,0.7,0.7,0.65,0.67,-0.01,33,2005,4.79,0.25,31.4,21.038,2.195277200964177,0,0,-0.014705882352941188
2005-09-14,1107,1029000,707680,0.67,0.71,0.64,0.7,0.03,38,2005,5.0,0.26,31.4,21.98,2.2935731950372,0,0,0.04477611940298495
2005-09-15,1107,29000,19520,0.68,0.7,0.67,0.67,-0.03,8,2005,4.79,0.25,31.4,21.038,2.195277200964177,0,0,-0.04285714285714274
2005-09-16,1107,352000,237490,0.7,0.7,0.66,0.66,-0.01,22,2005,4.71,0.25,31.4,20.724,2.162511869606503,0,0,-0.01492537313432837
2005-09-19,1107,334200,215550,0.69,0.69,0.63,0.65,-0.01,25,2005,4.64,0.25,31.4,20.41,2.1297465382488285,0,0,-0.015151515151515164
2005-09-20,1107,168000,109110,0.68,0.68,0.64,0.65,0.0,11,2005,4.64,0.25,31.4,20.41,2.1297465382488285,0,0,0.0
2005-09-21,1107,254800,161101,0.66,0.66,0.62,0.63,-0.02,25,2005,4.5,0.24,31.4,19.782,2.0642158755334803,0,0,-0.030769230769230795
2005-09-22,1107,510801,308696,0.61,0.62,0.59,0.6,-0.03,39,2005,4.29,0.23,31.4,18.84,1.9659198814604573,0,0,-0.04761904761904766
2005-09-23,1107,56000,34120,0.62,0.62,0.6,0.61,0.01,7,2005,4.36,0.23,31.4,19.154,1.998685212818132,0,0,0.016666666666666684
2005-09-26,1107,40000,24780,0.63,0.63,0.59,0.62,0.01,8,2005,4.43,0.23,31.4,19.468,2.0314505441758057,0,0,0.016393442622950834
2005-09-27,1107,133309,83356,0.63,0.64,0.6,0.64,0.02,22,2005,4.57,0.24,31.4,20.096,2.0969812068911544,0,0,0.03225806451612906
2005-09-28,1107,158800,100753,0.64,0.65,0.61,0.64,0.0,27,2005,4.57,0.24,31.4,20.096,2.0969812068911544,0,0,0.0
2005-09-29,1107,853500,519815,0.61,0.63,0.6,0.63,-0.01,25,2005,4.5,0.24,31.4,19.782,2.0642158755334803,0,0,-0.015625000000000014
